id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,nama_sekolah,npsn,kategori_siswa,jumlah_siswa,satuan,tahun
110,32,JAWA BARAT,3273,KOTA BANDUNG,3273190,CICENDO,32.73.06,CICENDO,SDN 110 PASIRKALIKI KOMARABUDI KOTA BANDUNG,20245736,SK SISWA,87,ORANG,2018
111,32,JAWA BARAT,3273,KOTA BANDUNG,3273150,KIARACONDONG,32.73.16,KIARACONDONG,SDN 111 PINDAD KOTA BANDUNG,20245751,SK SISWA,188,ORANG,2018
112,32,JAWA BARAT,3273,KOTA BANDUNG,3273060,REGOL,32.73.11,REGOL,SDN 112 PAMOYANAN KOTA BANDUNG,20245254,SK SISWA,160,ORANG,2018
113,32,JAWA BARAT,3273,KOTA BANDUNG,3273170,SUMUR BANDUNG,32.73.19,SUMUR BANDUNG,SDN 113 BANJARSARI KOTA BANDUNG,20245475,SK SISWA,17,ORANG,2018
114,32,JAWA BARAT,3273,KOTA BANDUNG,3273210,CIBEUNYING KIDUL,32.73.14,CIBEUNYING KIDUL,SDN 114 BOJONGKONENG CIBEUNYING KOTA BANDUNG,20245119,SK SISWA,182,ORANG,2018
115,32,JAWA BARAT,3273,KOTA BANDUNG,3273070,LENGKONG,32.73.13,LENGKONG,SDN 115 TURANGGA KOTA BANDUNG,20245097,SK SISWA,37,ORANG,2018
116,32,JAWA BARAT,3273,KOTA BANDUNG,3273150,KIARACONDONG,32.73.16,KIARACONDONG,SDN 116 CICAHEUM KOTA BANDUNG,20245512,SK SISWA,183,ORANG,2018
117,32,JAWA BARAT,3273,KOTA BANDUNG,3273080,BANDUNG KIDUL,32.73.21,BANDUNG KIDUL,SDN 117 BATUNUNGGAL KOTA BANDUNG,20245021,SK SISWA,280,ORANG,2018
118,32,JAWA BARAT,3273,KOTA BANDUNG,3273030,BOJONGLOA KALER,32.73.04,BOJONGLOA KALER,SDN 118 TANJUNG KOTA BANDUNG,20244990,SK SISWA,364,ORANG,2018
119,32,JAWA BARAT,3273,KOTA BANDUNG,3273070,LENGKONG,32.73.13,LENGKONG,SDN 119 CIJAGRA KOTA BANDUNG,20245023,SK SISWA,65,ORANG,2018
120,32,JAWA BARAT,3273,KOTA BANDUNG,3273060,REGOL,32.73.11,REGOL,SDN 120 KOTABARU KOTA BANDUNG,20245218,SK SISWA,80,ORANG,2018
121,32,JAWA BARAT,3273,KOTA BANDUNG,3273010,BANDUNG KULON,32.73.15,BANDUNG KULON,SDN 121 CARINGIN HOLIS KOTA BANDUNG,20244742,SK SISWA,229,ORANG,2018
122,32,JAWA BARAT,3273,KOTA BANDUNG,3273100,RANCASARI,32.73.23,RANCASARI,SDN 122 CIJAWURA KOTA BANDUNG,20245169,SK SISWA,228,ORANG,2018
123,32,JAWA BARAT,3273,KOTA BANDUNG,3273060,REGOL,32.73.11,REGOL,SDN 123 BABAKAN PRIANGAN KOTA BANDUNG,20245108,SK SISWA,131,ORANG,2018
124,32,JAWA BARAT,3273,KOTA BANDUNG,3273110,CIBIRU,32.73.25,CIBIRU,SDN 124 HANURA KOTA BANDUNG,20245586,SK SISWA,202,ORANG,2018
